date,metric_name,metric_description,metric_owner,metric_value,period_type,period_value
2022-01-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.06279107911114418,Calendar Period,2022_January
2022-02-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05945409180630849,Calendar Period,2022_February
2022-03-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.0591555218538237,Calendar Period,2022_March
2022-04-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05879009966262594,Calendar Period,2022_April
2022-05-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05674652176970444,Calendar Period,2022_May
2022-06-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.054605078198083044,Calendar Period,2022_June
2022-07-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.051952789853868954,Calendar Period,2022_July
2022-08-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05226053572188364,Calendar Period,2022_August
2022-09-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.049655150379876084,Calendar Period,2022_September
2022-10-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.055974019915571716,Calendar Period,2022_October
2022-11-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.05662616307366768,Calendar Period,2022_November
2022-12-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.054963489403649805,Calendar Period,2022_December
2023-01-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.053310589445674864,Calendar Period,2023_January
2023-02-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.04800431148485191,Calendar Period,2023_February
2023-03-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.051071975118537546,Calendar Period,2023_March
2023-04-01,Home Loan Growth Rate (%),"The month-over-month percentage change in total home loan balances, indicating portfolio growth.",Sophie Tan,0.0544872025211378,Calendar Period,2023_April
